Kode Barang,Warna,   AS,   S,  M, L, XL, XXL,06,08,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
BBC 407,SGB,,,,,,,,,,,,,,,,,,,8,6,9,6,7,7,,,,,,,,,
BBC 408,SGB,,,,,,,,,,,,,,,,,,,1,6,4,3,4,5,,,,,,,,,
BBC 410,SGB,,,,,,,,,,,,,,,,,,,0,1,3,5,9,5,,,,,,,,,
BBC 412,SGB,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,5,0,,,,
BBC 414,SGB,,,,,,,,,,,,,,,3,4,2,6,2,,,,,,,,,,,,,,
BBC 415,SGB,,,,,,,,,,,,,,,4,0,2,3,3,,,,,,,,,,,,,,
BBC 416,SGB,,,,,,,,,,,,,,,,,,5,4,3,3,0,5,2,,,,,,,,,
BBC 417,SGB,,,,,,,,,,,,,,,,,,,,3,1,3,3,4,,,,,,,,,
BBC 418,SGB,,,,,,,,,,,,,,,,,,,1,0,2,2,2,4,,,,,,,,,
BBC 419,SGB,,,,,,,,,,,,,,,,,,,3,4,2,3,2,0,,,,,,,,,
BCC 021,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,,,,
BCC 800,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,5,,,,
BCC 801,SGB,,,,,,,,,,,,,,,,,,,,,,,,,6,5,8,8,9,,,,
BCC 802,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,1,,,,
BCC 806,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,6,7,,,,
BCC 818,SGB,,,,,,,,,,,,,,,,,,,,,,,,,7,6,9,10,9,,,,
BCC 829,SGB,,,,,,,,,,,,,,,,,,,,,,,,,7,6,4,9,3,,,,
BCC 838,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,0,7,6,8,,,,
BCC 843,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,6,9,,,,
BCC 844,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,4,4,,,,
BCC 847,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,9,7,8,6,,,,
BCC 848,SGB,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,7,2,,,,
BCC 849,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,3,,,,
BCC 850,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,6,9,4,2,,,,
BCC 854,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,3,5,,,,
BCC 856,SGB,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,5,4,,,,
BCC 857,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,4,1,,,,
BCC 858,SGB,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,0,2,,,,
BCC 859,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,,,,
BCC 860,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,2,2,,,,
BCC 861,SGB,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,2,3,,,,
BCC 862,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,,,,
BCC 863,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,2,,,,
BCC 864,SGB,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,3,5,,,,
BCC 865,SGB,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,,,,
BEC 100,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,2,4,6,
BEC 101,SGB,,,,,,,,,,,,,,,,,,,,,3,8,7,8,6,3,,,,,,,
